>AJ009665.1.1337_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Armophorea,o:Armophorea_X,f:Metopidae,g:Brachonella,s:Brachonella_sp.
>FJ153667.1.1152_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Armophorea,o:Armophorea_X,f:Metopidae,g:Metopus_1,s:Metopus_sp.
>AY046700.1.1143_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Armophorea,o:Armophorea_X,f:Metopidae,g:Metopus_1,s:Metopus_sp.
>FJ174923.1.1801_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Arthropoda,o:Crustacea,f:Malacostraca,g:Palinurus,s:Palinurus_mauritanicus
>AF436012.1.1857_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Arthropoda,o:Crustacea,f:Malacostraca,g:Aegla,s:Aegla_uruguayana
>AB465970.1.1795_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Arthropoda,o:Hexapoda,f:Insecta,g:Blondelia,s:Blondelia_nigripes
>AY123745.1.924_UC,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Ascomycota,o:Pezizomycotina,f:Sordariomycetes,g:Sordariomycetes_X,s:Sordariomycetes_X_sp.
>FJ355953.1.1907_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Ascomycota,o:Pezizomycotina,f:Eurotiomycetes,g:Knufia,s:Knufia_epidermidis
>EU174976.1.853_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Ascomycota,o:Pezizomycotina,f:Sordariomycetes,g:Sordariomycetes_X,s:Sordariomycetes_X_sp.
>HQ710551.1.1633_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Aurearenophyceae,o:Aureanales,f:Aurearenaceae,g:Aurearena,s:Aurearena_sp.
>AB365192.1.1765_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Aurearenophyceae,o:Aureanales,f:Aurearenaceae,g:Aurearena,s:Aurearena_cruciata
>AB365194.1.1765_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Aurearenophyceae,o:Aureanales,f:Aurearenaceae,g:Aurearena,s:Aurearena_cruciata
>AJ866997.1.1545_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Bacillariales,f:Bacillariaceae,g:Nitzschia,s:Nitzschia_paleaformis
>HM805031.1.1721_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Surirellales,f:Entomoneidaceae,g:Entomoneis,s:Entomoneis_punctulata
>HQ912658.1.1741_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Surirellales,f:Surirellaceae,g:Surirella,s:Surirella_minuta
>DQ227853.1.2874_U,k:Eukaryota,d:Archaeplastida,p:Rhodophyta-Rhodophyta_X,c:Bangiophyceae,o:Bangiales,f:Bangiaceae,g:Pyropia,s:Pyropia_yezoensis
>AB015794.1.2331_G,k:Eukaryota,d:Archaeplastida,p:Rhodophyta-Rhodophyta_X,c:Bangiophyceae,o:Bangiales,f:Bangiaceae,g:Pyropia,s:Pyropia_onoi
>AB015794.1.2331_R,k:Eukaryota,d:Archaeplastida,p:Rhodophyta-Rhodophyta_X,c:Bangiophyceae,o:Bangiales,f:Bangiaceae,g:Pyropia,s:Pyropia_onoi
>KC673103.1.1780_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Basidiomycota,o:Ustilaginomycotina,f:Exobasidiomycetes,g:Malassezia,s:Malassezia_globosa
>HM486977.1.1360_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Basidiomycota,o:Pucciniomycotina,f:Microbotryomycetes,g:Microbotryomycetes_X,s:Microbotryomycetes_X_sp.
>GU072001.1.966_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Basidiomycota,o:Pucciniomycotina,f:Cystobasidiomycetes,g:Rhodotorula,s:Rhodotorula_sp.
>EU562001.1.934_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Anoecales,f:Caecitellaceae,g:Caecitellus,s:Caecitellus_sp.
>HQ866490.1.880_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Bicoecea_X,f:Bicoecea_XX,g:Bicoecea_XXX,s:Bicoecea_XXX_sp.
>HQ865557.1.876_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Bigyra,c:Bicoecea,o:Bicoecea_X,f:Bicoecea_XX,g:Bicoecea_XXX,s:Bicoecea_XXX_sp.
>AY180021.1.1729_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Bigyra,c:Bigyra_X,o:Bigyra_XX,f:Bigyra_XXX,g:Bigyra_XXXX,s:Bigyra_XXXX_sp.
>KJ577859.1.1804_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Bigyra,c:Bigyra_X,o:Bigyra_XX,f:Bigyra_XXX,g:Bigyra_XXXX,s:Bigyra_XXXX_sp.
>ACDU01008455.29422.31301_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Blastocladiomycota,o:Blastocladiomycotina,f:Blastocladiomycetes,g:Allomyces,s:Allomyces_macrogynus
>JN054657.1.1595_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Blastocladiomycota,o:Blastocladiomycotina,f:Blastocladiomycetes,g:Blastocladiomycota_XX,s:Blastocladiomycota_X_sp.
>EF565163.1.1724_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Blastocladiomycota,o:Blastocladiomycotina,f:Blastocladiomycetes,g:Blastocladiomycetes_X,s:Blastocladiomycetes_X_sp.
>EU500181.1.813_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bolidophyceae,o:Parmales,f:Triparmaceae,g:Triparma,s:Triparma_pacifica
>DQ062504.1.1771_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bolidophyceae,o:Parmales,f:Parmales_env_1,g:Parmales_env_1_X,s:Parmales_env_1_X_sp.
>FN690654.1.1702_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bolidophyceae,o:Parmales,f:Parmales_env_2,g:Parmales_env_2_X,s:Parmales_env_2_X_sp.
>KC149999.1.1700_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Brachiopoda,o:Brachiopoda_X,f:Brachiopoda_XX,g:Novocrania,s:Novocrania_sp.
>HQ852092.1.1750_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Brachiopoda,o:Brachiopoda_X,f:Brachiopoda_XX,g:Xenobrochus,s:Xenobrochus_africanus
>AF202112.1.1769_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Brachiopoda,o:Brachiopoda_X,f:Brachiopoda_XX,g:Phoronis,s:Phoronis_hippocrepia
>EF100391.1.1503_U,k:Eukaryota,d:Obazoa,p:Breviatea-Breviatea_X,c:Breviatea_XX,o:Breviatea_XXX,f:Subulatomonas-lineage,g:Subulatomonas-lineage_X,s:Subulatomonas-lineage_X_sp.
>EF100226.1.1559_U,k:Eukaryota,d:Obazoa,p:Breviatea-Breviatea_X,c:Breviatea_XX,o:Breviatea_XXX,f:Subulatomonas-lineage,g:Subulatomonas-lineage_X,s:Subulatomonas-lineage_X_sp.
>EF527173.1.1555_U,k:Eukaryota,d:Obazoa,p:Breviatea-Breviatea_X,c:Breviatea_XX,o:Breviatea_XXX,f:Subulatomonas-lineage,g:Subulatomonas-lineage_X,s:Subulatomonas-lineage_X_sp.
>JN680935.1.1817_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Bryozoa,o:Bryozoa_X,f:Bryozoa_XX,g:Anguinella,s:Anguinella_palmata
>KC461942.1.1689_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Bryozoa,o:Bryozoa_X,f:Bryozoa_XX,g:Plumatella,s:Plumatella_geimermassardi
>FJ009085.1.880_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Bryozoa,o:Bryozoa_X,f:Bryozoa_XX,g:Calyptotheca,s:Calyptotheca_sp.
>GU819444.1.1226_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Cariacotrichea,o:Cariacotrichea_X,f:Cariacotrichidae,g:Cariacothrix,s:Cariacothrix_sp.
>GU819282.1.1169_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Cariacotrichea,o:Cariacotrichea_X,f:Cariacotrichidae,g:Cariacothrix,s:Cariacothrix_sp.
>GU819628.1.1169_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Cariacotrichea,o:Cariacotrichea_X,f:Cariacotrichidae,g:Cariacothrix,s:Cariacothrix_sp.
>AY046633.1.1177_U,k:Eukaryota,d:Excavata,p:Metamonada-Fornicata,c:Carpediemonadea,o:Carpediemonadida,f:Carpediemonadidae,g:Carpediemonadidae_X,s:Carpediemonadidae_X_sp.
>AY046799.1.1177_U,k:Eukaryota,d:Excavata,p:Metamonada-Fornicata,c:Carpediemonadea,o:Carpediemonadida,f:Carpediemonadidae,g:Carpediemonadidae_X,s:Carpediemonadidae_X_sp.
>GU827591.1.1742_U,k:Eukaryota,d:Excavata,p:Metamonada-Fornicata,c:Carpediemonadea,o:Carpediemonadida,f:Carpediemonadidae,g:Carpediemonadidae_X,s:Carpediemonadidae_X_sp.
>GQ397471.1.1452_U,k:Eukaryota,d:Amoebozoa,p:Discosea-Discosea_X,c:Centramoebia,o:Acanthopodida,f:Acanthamoebidae,g:Acanthamoeba,s:Acanthamoeba_sp.
>GQ397463.1.1433_U,k:Eukaryota,d:Amoebozoa,p:Discosea-Discosea_X,c:Centramoebia,o:Acanthopodida,f:Acanthamoebidae,g:Acanthamoeba,s:Acanthamoeba_sp.
>AY173007.1.2301_U,k:Eukaryota,d:Amoebozoa,p:Discosea-Discosea_X,c:Centramoebia,o:Acanthopodida,f:Acanthamoebidae,g:Acanthamoeba,s:Acanthamoeba_sp.
>GU824707.1.1210_U,k:Eukaryota,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp.
>AY749539.1.1586_U,k:Eukaryota,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp.
>AY749527.1.1584_U,k:Eukaryota,d:Haptista,p:Centroplasthelida-Centroplasthelida_X,c:Centroplasthelida_XX,o:Centroplasthelida_XXX,f:Centroplasthelida_XXXX,g:Centroplasthelida_XXXXX,s:Centroplasthelida_XXXXX_sp.
>AY428817.1.1721_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cephalochordata,o:Cephalochordata_X,f:Cephalochordata_XX,g:Branchiostoma,s:Branchiostoma_lanceolatum
>EU875589.107049.108842_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cephalochordata,o:Cephalochordata_X,f:Cephalochordata_XX,g:Branchiostoma,s:Branchiostoma_floridae
>ABEP02032867.18925.20738_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cephalochordata,o:Cephalochordata_X,f:Cephalochordata_XX,g:Branchiostoma,s:Branchiostoma_floridae
>FR874476.1.1806_U,k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Cercozoa_X,o:Cercozoa_XX,f:Cercozoa_XXX,g:Cercozoa_XXXX,s:Cercozoa_XXXX_sp.
>HQ870587.1.858_U,k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Cercozoa_X,o:Cercozoa_XX,f:Cercozoa_XXX,g:Cercozoa_XXXX,s:Cercozoa_XXXX_sp.
>GU072079.1.908_U,k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Cercozoa_X,o:Cercozoa_XX,f:Cercozoa_XXX,g:Cercozoa_XXXX,s:Cercozoa_XXXX_sp.
>DQ351897.1.1048_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Chaetognatha,o:Aphragmophora,f:Aphragmophora_X,g:Spadella,s:Spadella_cephaloptera
>DQ351899.1.1048_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Chaetognatha,o:Aphragmophora,f:Aphragmophora_X,g:Spadella,s:Spadella_ledoyeri
>JX458821.1.1546_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Chaetognatha,o:Aphragmophora,f:Aphragmophora_X,g:Spadella,s:Spadella_sp.
>U18494.1.1735_U,k:Eukaryota,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Charophyceae,o:Charophyceae_X,f:Charophyceae_XX,g:Chara,s:Chara_curtissii
>AF408224.1.1664_U,k:Eukaryota,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Charophyceae,o:Charophyceae_X,f:Charophyceae_XX,g:Lamprothamnium,s:Lamprothamnium_macropogon
>U18104.1.1745_U,k:Eukaryota,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Charophyceae,o:Charophyceae_X,f:Charophyceae_XX,g:Chara,s:Chara_australis
>HQ869191.1.894_U,k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Chlorarachniophyceae,o:Chlorarachniophyceae_X,f:LC104-lineage,g:LC104-lineage_X,s:LC104-lineage_X_sp.
>HQ869564.1.886_U,k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Chlorarachniophyceae,o:Chlorarachniophyceae_X,f:LC104-lineage,g:LC104-lineage_X,s:LC104-lineage_X_sp.
>EF622539.1.1683_U,k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Chlorarachniophyceae,o:Chlorarachnida,f:Chlorarachnida_X,g:Lotharella,s:Lotharella_sp.
>JF489949.1.1674_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorodendrophyceae,o:Chlorodendrales,f:Chlorodendraceae,g:Tetraselmis,s:Tetraselmis_suecica
>FJ536748.1.1073_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorodendrophyceae,o:Chlorodendrales,f:Chlorodendraceae,g:Tetraselmis,s:Tetraselmis_convolutae
>FJ559379.1.1653_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorodendrophyceae,o:Chlorodendrales,f:Chlorodendraceae,g:Tetraselmis,s:Tetraselmis_sp.
>FR717538.2.2171_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chaetophorales,f:Chaetophorales_X,g:Uronema_Chlorophyceae,s:Uronema_sp.
>KC589697.1711.1_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Stephanosphaera,s:Stephanosphaera_pluvialis
>HQ662272.1.846_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyceae,o:Chlamydomonadales,f:Chlamydomonadales_X,g:Chlamydomonas,s:Chlamydomonas_debaryana
>FJ431561.1.801_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyta_XX,o:Chlorophyta_XXX,f:Chlorophyta_XXXX,g:Chlorophyta_XXXXX,s:Chlorophyta_XXXXX_sp.
>JX391013.1.1728_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyta_XX,o:Chlorophyta_XXX,f:Chlorophyta_XXXX,g:Chlorophyta_XXXXX,s:Chlorophyta_XXXXX_sp.
>GU825178.1.1416_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chlorophyta_XX,o:Nephroselmidaceae,f:Nephroselmidaceae_X,g:Nephroselmidaceae_XX,s:Nephroselmidaceae_XX_sp.
>AB275078.1.1682_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chloropicophyceae,o:Chloropicales,f:Chloropicaceae,g:Chloropicon,s:Chlroropicon_A6_sp.
>KF031618.1.1740_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chloropicophyceae,o:Chloropicales,f:Chloropicaceae,g:Chloropicon,s:Chloropicon_roscoffensis
>EU143500.1.890_U,k:Eukaryota,d:Archaeplastida,p:Chlorophyta-Chlorophyta_X,c:Chloropicophyceae,o:Chloropicales,f:Chloropicaceae,g:Chloropicon,s:Chloropicon_sp.
>FJ971827.1.959_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Choanoflagellata,c:Choanoflagellatea,o:Acanthoecida,f:Stephanoecidae_Group_D,g:Stephanoecidae_Group_D_X,s:Stephanoecidae_Group_D_X_sp.
>ACSY01001905.540.2330_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Choanoflagellata,c:Choanoflagellatea,o:Choanoflagellatea_X,f:Choanoflagellatea_XX,g:Choanoflagellatea_XXX,s:Choanoflagellatea_XXX_sp.
>HQ026766.1.1127_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Choanoflagellata,c:Choanoflagellatea,o:Acanthoecida,f:Stephanoecidae_Group_H,g:Stephanoeca_Group_H,s:Stephanoeca_cauliculata
>U78034.1.1808_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysomerophyceae,o:Chrysomerophyceae_X,f:Chrysomerophyceae_XX,g:Giraudyopsis,s:Giraudyopsis_stellifera
>AJ295822.1.1777_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysomerophyceae,o:Chrysomerophyceae_X,f:Chrysomerophyceae_XX,g:Antarctosaccion,s:Antarctosaccion_applanatum
>AB365204.1.1737_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysomerophyceae,o:Chrysomerophyceae_X,f:Chrysomerophyceae_XX,g:Giraudyopsis,s:Giraudyopsis_sp.
>MK189081.1.1788_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysoparadoxophyceae,o:Chrysoparadoxales,f:Chrysoparadoxaceae,g:Chrysoparadoxa,s:Chrysoparadoxa_australica
>AF123293.1.1789_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Chrysophyceae_X,f:Chrysophyceae_XX,g:Chrysastrella,s:Chrysastrella_breviappendiculata
>DQ388549.1.1646_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Ochromonadales,f:Ochromonadaceae,g:Spumella,s:Spumella_vulgaris
>AY919756.1.1718_U,k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Chrysophyceae_Clade-EC2H,f:Chrysophyceae_Clade-EC2H_X,g:Chrysophyceae_Clade-EC2H_XX,s:Chrysophyceae_Clade-EC2H_XX_sp.
>AY635826.1.1783_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Chytridiomycota,o:Chytridiales,f:Chytriomycetaceae,g:Entophlyctis,s:Entophlyctis_helioformis
>HM487003.1.1354_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Chytridiomycota,o:Rhizophydiales,f:Rhizophydiales_X,g:Rhizophydiales_XX,s:Rhizophydiales_XX_sp.
>AY605192.1.800_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Chytridiomycota,o:Chytridiomycota_X,f:Chytridiomycota_XX,g:Chytridiomycota_XXX,s:Chytridiomycota_XXX_sp.
>EF526778.1.1196_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Ciliophora_X,o:Ciliophora_XX,f:Ciliophora_XXX,g:Mesodinium,s:Mesodinium_sp.
>EF526944.1.1245_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Ciliophora_X,o:Ciliophora_XX,f:Ciliophora_XXX,g:Mesodinium,s:Mesodinium_sp.
>EF526775.1.1199_U,k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Ciliophora_X,o:Ciliophora_XX,f:Ciliophora_XXX,g:Mesodinium,s:Mesodinium_sp.
>EU190846.1.1731_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cnidaria,o:Cnidaria_X,f:Anthozoa,g:Aiptasia,s:Aiptasia_pulchella
>EU645440.1.1705_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cnidaria,o:Cnidaria_X,f:Hydrozoa,g:Stylaster,s:Stylaster_duchassaingii
>EU272633.1.1654_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cnidaria,o:Cnidaria_X,f:Hydrozoa,g:Ralpharia,s:Ralpharia_gorgoniae
>JQ867356.1.1612_U,k:Eukaryota,d:TSAR,p:Alveolata-Apicomplexa,c:Coccidiomorphea,o:Piroplasmorida,f:Babesiidae,g:Babesia8,s:Babesia8_hongkongensis
>DQ396545.1.1663_U,k:Eukaryota,d:TSAR,p:Alveolata-Apicomplexa,c:Coccidiomorphea,o:Haemosporida,f:Plasmodiidae,g:Hepatocystis,s:Hepatocystis_sp.
>AF487999.1.2152_U,k:Eukaryota,d:TSAR,p:Alveolata-Apicomplexa,c:Coccidiomorphea,o:Haemosporida,f:Plasmodiidae,g:Plasmodium5,s:Plasmodium5_malariae
>AY211905.1.1743_U,k:Eukaryota,d:Archaeplastida,p:Streptophyta-Streptophyta_X,c:Coleochaetophyceae,o:Coleochaetophyceae_X,f:Coleochaetophyceae_XX,g:Coleochaete,s:Coleochaete_divergens
